season,no. episodes,av viewers(m),most watched episode viewers (m),most watched episode title
1989–90,13,27.8,33.5,"""Life on the Fast Lane"""
1990–91,22,24.4,33.6,"""Bart Gets an 'F'"""
1991–92,24,21.8,25.5,"""Colonel Homer"""
1992–93,22,22.4,28.6,"""Lisa's First Word"""
1993–94,22,18.9,24,"""Treehouse of Horror IV"""
1994–95,25,15.6,22.2,"""Treehouse of Horror V"""
1995–96,25,15.1,19.7,"""Treehouse of Horror VI"""
1996–97,25,14.5,20.9,"""The Springfield Files"""
1997–98,25,15.3,19.8,"""The Two Mrs. Nahasapeemapetilons"""
1998–99,23,13.5,15.5,"""Maximum Homerdrive"""
1999–2000,22,8.8,18.4,"""The Mansion Family"""
2000–01,21,15.5,18.6,"""Worst Episode Ever"""
2001–02,22,12.5,14.9,"""The Parent Rap"""
2002–03,22,14.4,22.1,"""I'm Spelling as Fast as I Can"""
2003–04,22,11,16.3,"""I, (Annoyed Grunt)-Bot"""
2004–05,21,10.2,23.07,"""Homer and Ned's Hail Mary Pass"""
2005–06,22,9.55,11.63,"""Treehouse of Horror XVI"""
2006–07,22,9.15,13.9,"""The Wife Aquatic"""
2007–08,20,8.37,11.7,"""Treehouse of Horror XVIII"""
2008–09,21,7.1,12.4,"""Treehouse of Horror XIX"""
2009–10,23,7.1,14.62,"""Once Upon a Time in Springfield"""
2010–11,22,7.09,12.6,"""Moms I'd Like to Forget"""
2011–12,22,6.15,11.48,"""The D'oh-cial Network"""
2012–13,22,5.41,8.97,"""Homer Goes to Prep School"""
2013–14,22,5.02,12.04,"""Steal This Episode"""
2014–15,22,5.61,10.62,"""The Man Who Came to Be Dinner"""
2015–16,22,4,8.33,"""Teenage Mutant Milk-Caused Hurdles"""
2016–17,22,4.8,8.19,"""Pork and Burns"""
2017–18,21,4.07,8.04,"""Frink Gets Testy"""
2018–19,23,3.1,8.2,"""The Girl on the Bus"""
2019–20,22,2.58,5.63,"""Go Big or Go Homer"""
2020–21,22,2.32,4.93,"""Treehouse of Horror XXXI"""
2021–22,22,2.25,3.97,"""Portrait of a Lackey on Fire"""
